SalesID,MachineID,ModelID,YearMade,UsageBand,saledate,fiModelDesc,fiBaseModel,fiProductClassDesc,state,ProductGroupDesc,Blade_Type,Differential_Type,Steering_Controls
1228075,610115,1129,1998,,5/3/12 0:00,315BL,315,"Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",Texas,Track Excavators,,,
1228076,614454,1129,2000,,5/3/12 0:00,315BL,315,"Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",Texas,Track Excavators,,,
1228089,770992,3845,1998,High,5/3/12 0:00,962G,962,Wheel Loader - 200.0 to 225.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1228104,1000488,590,1000,,5/10/12 0:00,WA250-1,WA250,Wheel Loader - 120.0 to 135.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1228105,1060068,16145,2003,Medium,5/10/12 0:00,80ZV,80,Wheel Loader - 200.0 to 225.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1228107,1037735,16131,2002,Medium,5/10/12 0:00,65ZV,65,Wheel Loader - 120.0 to 135.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1228113,1009687,23806,2002,Medium,5/3/12 0:00,WA450-5L,WA450,Wheel Loader - 250.0 to 275.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1228117,1031398,4817,1998,,5/3/12 0:00,770C,770,Motorgrader - 145.0 to 170.0 Horsepower,Arkansas,Motor Graders,,,
1228119,48746,16737,1999,High,5/3/12 0:00,WA800-2,WA800,Wheel Loader - 500.0 to 1000.0 Horsepower,Texas,Wheel Loader,,Standard,Conventional
1228122,1016122,28235,1999,Medium,5/3/12 0:00,D475A3,D475,"Track Type Tractor, Dozer - 260.0 + Horsepower",Texas,Track Type Tractors,None or Unspecified,,
1228123,1008390,22358,2003,Medium,5/3/12 0:00,865,865,Motorgrader - 170.0 to 200.0 Horsepower,Arkansas,Motor Graders,,,
1228124,1054727,17311,2005,Medium,5/10/12 0:00,S175,S175,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Illinois,Skid Steer Loaders,,,
1228129,696487,3783,2001,Medium,5/10/12 0:00,928G,928,Wheel Loader - 120.0 to 135.0 Horsepower,Ohio,Wheel Loader,,Standard,Conventional
1228130,673614,75,2003,Medium,5/10/12 0:00,938GII,938,Wheel Loader - 150.0 to 175.0 Horsepower,Ohio,Wheel Loader,,Standard,Conventional
1228131,998478,23618,2004,High,5/10/12 0:00,WA320-5L,WA320,Wheel Loader - 150.0 to 175.0 Horsepower,Ohio,Wheel Loader,,Standard,Conventional
1228134,811063,1636,1998,Medium,5/10/12 0:00,D6RLGP,D6,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",Ohio,Track Type Tractors,Straight,,
1228135,1045443,4149,1000,Low,5/10/12 0:00,D8N,D8,"Track Type Tractor, Dozer - 260.0 + Horsepower",Ohio,Track Type Tractors,None or Unspecified,,
1228136,1045511,4753,1997,Low,5/10/12 0:00,644G,644,Wheel Loader - 175.0 to 200.0 Horsepower,California,Wheel Loader,,Standard,Conventional
1228142,1028323,4574,1000,Low,5/10/12 0:00,190E,190,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",California,Track Excavators,,,
1228145,725535,1638,1999,,5/10/12 0:00,D6RXL,D6,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",California,Track Type Tractors,PAT,,
1228149,1025507,1994,1000,,5/10/12 0:00,EX700BE,EX700,"Hydraulic Excavator, Track - 66.0 to 90.0 Metric Tons",California,Track Excavators,,,
1228150,1018193,25450,1000,Low,5/10/12 0:00,EX450LCH,EX450,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",California,Track Excavators,,,
1228152,1009598,5868,1999,Medium,5/10/12 0:00,L150C,L150,Wheel Loader - 225.0 to 250.0 Horsepower,California,Wheel Loader,,Standard,Conventional
1228153,1001791,5658,2001,Low,5/3/12 0:00,LB75B,LB75,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,South Carolina,Backhoe Loaders,,,
1228155,1038505,6633,1000,Low,5/10/12 0:00,1840,1840,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Arizona,Skid Steer Loaders,,,
1228156,1033078,14310,2002,Medium,5/10/12 0:00,330CLC,330,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",Colorado,Track Excavators,,,
1228157,1056245,14310,2003,Medium,5/10/12 0:00,330CLC,330,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",Colorado,Track Excavators,,,
1228158,1033978,6798,2005,Medium,5/3/12 0:00,621D,621,Wheel Loader - 120.0 to 135.0 Horsepower,Virginia,Wheel Loader,,Standard,Conventional
1228160,1045322,1118,1998,High,5/10/12 0:00,312BL,312,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",Missouri,Track Excavators,,,
1228161,1013913,17976,2005,,5/3/12 0:00,TX760B,TX760,Backhoe Loader - 0.0 to 14.0 Ft Standard Digging Depth,Florida,Backhoe Loaders,,,
1228168,1026372,166,1000,Low,5/10/12 0:00,D21P-6,D21,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",New Jersey,Track Type Tractors,PAT,,
1228179,1005481,24808,2004,,5/3/12 0:00,214E4WD,214,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Alabama,Backhoe Loaders,,,
1228182,1067023,24808,2006,,5/3/12 0:00,214E4WD,214,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Tennessee,Backhoe Loaders,,,
1228183,1051759,17235,2005,Low,5/3/12 0:00,328G,328,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Florida,Track Excavators,,,
1228188,843053,3863,2002,Low,5/10/12 0:00,972G,972,Wheel Loader - 275.0 to 350.0 Horsepower,Texas,Wheel Loader,,Standard,Conventional
1228192,999686,24808,2005,,5/3/12 0:00,214E4WD,214,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Georgia,Backhoe Loaders,,,
1228195,1028654,4124,1000,Low,5/10/12 0:00,D6D,D6,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",West Virginia,Track Type Tractors,None or Unspecified,,
1228197,1055347,22312,2005,Medium,5/3/12 0:00,650K,650,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Tennessee,Track Type Tractors,PAT,,
1228198,1029380,36007,2005,Low,5/3/12 0:00,435AG,435,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Tennessee,Track Excavators,,,
1228200,1049766,9580,2006,Medium,5/3/12 0:00,T190,T190,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1228203,1007352,3459,1998,Low,5/1/12 0:00,307B,307,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",Illinois,Track Excavators,,,
1228214,1000141,22113,2007,,5/10/12 0:00,450JLGP,450,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Louisiana,Track Type Tractors,PAT,,
1228217,1024842,20090,2007,Low,5/10/12 0:00,TB145,TB145,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Louisiana,Track Excavators,,,
1228219,845611,3775,2006,High,5/10/12 0:00,924G,924,Wheel Loader - 120.0 to 135.0 Horsepower,Maine,Wheel Loader,,Standard,Conventional
1228222,1003029,9580,2004,Medium,5/3/12 0:00,T190,T190,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Florida,Skid Steer Loaders,,,
1228225,1010336,9580,2005,Medium,5/3/12 0:00,T190,T190,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Illinois,Skid Steer Loaders,,,
1228228,1053007,18604,2006,Medium,5/3/12 0:00,CTL60,CTL60,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Georgia,Skid Steer Loaders,,,
1228229,1036626,18585,2007,Low,5/3/12 0:00,4840E,4840,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Massachusetts,Skid Steer Loaders,,,
1228231,1047173,18585,2007,Low,5/3/12 0:00,4840E,4840,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1228236,1053916,18591,2007,Low,5/3/12 0:00,6640,6640,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,New Mexico,Skid Steer Loaders,,,
1228237,1029334,19324,2000,Low,5/3/12 0:00,2042,2042,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,Georgia,Skid Steer Loaders,,,
1228238,1039229,9055,1000,Low,5/10/12 0:00,PC300,PC300,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",West Virginia,Track Excavators,,,
1228244,1014888,3350,1000,,5/10/12 0:00,120G,120,Motorgrader - 45.0 to 130.0 Horsepower,Missouri,Motor Graders,,,
1228245,1069837,332,1999,Low,5/10/12 0:00,PC120-6E,PC120,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",Missouri,Track Excavators,,,
1228247,1053435,4806,1000,,5/10/12 0:00,750C,750,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Pennsylvania,Track Type Tractors,None or Unspecified,,
1228248,1004174,4794,1000,Low,5/10/12 0:00,710D,710,Backhoe Loader - 16.0 + Ft Standard Digging Depth,Pennsylvania,Backhoe Loaders,,,
1228253,1037742,553,1000,Low,5/10/12 0:00,PC75UU-2,PC75,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",California,Track Excavators,,,
1228254,1039330,17314,2006,Medium,5/10/12 0:00,S300,S300,Skid Steer Loader - 2701.0+ Lb Operating Capacity,New York,Skid Steer Loaders,,,
1228256,434172,1129,2000,Low,5/10/12 0:00,315BL,315,"Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",New York,Track Excavators,,,
1228265,1061909,26212,1000,,5/10/12 0:00,555,555,Wheel Loader - 275.0 to 350.0 Horsepower,California,Wheel Loader,,Standard,Conventional
1228270,702821,3886,1000,Medium,5/3/12 0:00,988F,988,Wheel Loader - 350.0 to 500.0 Horsepower,California,Wheel Loader,,Standard,Command Control
1228277,1059759,12263,1997,Low,5/10/12 0:00,SE280LC-2,SE280,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Iowa,Track Excavators,,,
1228287,780020,23926,2007,High,5/10/12 0:00,12HNA,12,Motorgrader - 130.0 to 145.0 Horsepower,Florida,Motor Graders,,,
1228288,790963,1211,2001,Medium,5/10/12 0:00,325BL,325,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",Florida,Track Excavators,,,
1228289,1009946,4606,1998,Medium,5/10/12 0:00,310SE,310,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,Backhoe Loaders,,,
1228290,782164,1574,1998,,5/10/12 0:00,D5CIIILGP,D5,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,Track Type Tractors,PAT,,
1228291,791523,3538,1998,Low,5/10/12 0:00,416C,416,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,Backhoe Loaders,,,
1228292,772181,1580,2006,Low,5/10/12 0:00,D5GLGP,D5,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,Track Type Tractors,PAT,,
1228293,1034462,1893,2002,Medium,5/10/12 0:00,650HLGP,650,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Florida,Track Type Tractors,PAT,,
1228305,1024767,4702,2006,High,5/10/12 0:00,544J,544,Wheel Loader - 120.0 to 135.0 Horsepower,Florida,Wheel Loader,,Standard,Conventional
1228314,110363,3775,2000,Medium,5/10/12 0:00,924G,924,Wheel Loader - 120.0 to 135.0 Horsepower,North Carolina,Wheel Loader,,Standard,Conventional
1228315,1046941,23752,2004,,5/10/12 0:00,PC300LC7L,PC300,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",North Carolina,Track Excavators,,,
1228320,767171,3450,2008,Medium,5/10/12 0:00,302.5C,302.5,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Florida,Track Excavators,,,
1228326,767625,1075,2007,Medium,5/10/12 0:00,303CCR,303,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Florida,Track Excavators,,,
1228328,1031835,3362,1000,Low,5/10/12 0:00,140G,140,Motorgrader - 145.0 to 170.0 Horsepower,Tennessee,Motor Graders,,,
1228329,1037935,3359,1000,,5/8/12 0:00,130G,130,Motorgrader - 130.0 to 145.0 Horsepower,Texas,Motor Graders,,,
1228330,1040931,1894,1999,Medium,5/10/12 0:00,650HLT,650,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Oklahoma,Track Type Tractors,PAT,,
1228332,1057734,28588,2002,High,5/3/12 0:00,PC220LC7L,PC220,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Missouri,Track Excavators,,,
1228333,1059426,10493,1000,Low,5/10/12 0:00,L180,L180,Wheel Loader - 250.0 to 275.0 Horsepower,Missouri,Wheel Loader,,Standard,Conventional
1228345,128692,3538,2000,Medium,5/10/12 0:00,416C,416,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,North Carolina,Backhoe Loaders,,,
1228351,529264,3450,2006,,5/10/12 0:00,302.5C,302.5,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",North Carolina,Track Excavators,,,
1228352,1024087,1073,2006,Low,5/10/12 0:00,303.5CCR,303.5,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",North Carolina,Track Excavators,,,
1228353,113468,3433,2005,,5/10/12 0:00,262B,262,Skid Steer Loader - 2701.0+ Lb Operating Capacity,North Carolina,Skid Steer Loaders,,,
1228354,802333,1580,2006,Medium,5/10/12 0:00,D5GLGP,D5,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",North Carolina,Track Type Tractors,PAT,,
1228356,1010550,13832,2005,Medium,5/10/12 0:00,D5GXL,D5,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",North Carolina,Track Type Tractors,PAT,,
1228357,104538,7014,2004,Low,5/10/12 0:00,236,236,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Arkansas,Skid Steer Loaders,,,
1228359,1013988,3879,1997,,5/10/12 0:00,980G,980,Wheel Loader - 275.0 to 350.0 Horsepower,Arizona,Wheel Loader,,Standard,Command Control
1228360,383609,3863,1999,High,5/10/12 0:00,972G,972,Wheel Loader - 275.0 to 350.0 Horsepower,Arizona,Wheel Loader,,Standard,Conventional
1228361,1057349,3878,1000,Medium,5/10/12 0:00,980F,980,Wheel Loader - 275.0 to 350.0 Horsepower,Arizona,Wheel Loader,,Standard,Conventional
1228362,1066763,3877,1000,Medium,5/10/12 0:00,980C,980,Wheel Loader - 275.0 to 350.0 Horsepower,Arizona,Wheel Loader,,Standard,Conventional
1228364,1016390,3879,1000,,5/10/12 0:00,980G,980,Wheel Loader - 275.0 to 350.0 Horsepower,Arizona,Wheel Loader,,Standard,Command Control
1228365,1059900,5864,1998,Medium,5/10/12 0:00,L120C,L120,Wheel Loader - 200.0 to 225.0 Horsepower,Arizona,Wheel Loader,,Standard,Conventional
1228367,1044932,3879,1000,Medium,5/10/12 0:00,980G,980,Wheel Loader - 275.0 to 350.0 Horsepower,Arizona,Wheel Loader,,Standard,Command Control
1228368,999245,3879,1000,Medium,5/10/12 0:00,980G,980,Wheel Loader - 275.0 to 350.0 Horsepower,Arizona,Wheel Loader,,Standard,Command Control
1228369,1007956,9568,1000,Low,5/3/12 0:00,953,953,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,California,Skid Steer Loaders,,,
1228371,786019,3542,2002,Medium,5/10/12 0:00,420D,420,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,Backhoe Loaders,,,
1228374,1068882,18468,2004,Low,5/10/12 0:00,MX502,MX502,"Hydraulic Excavator, Track - 5.0 to 6.0 Metric Tons",Florida,Track Excavators,,,
1228375,1015128,5517,2000,Low,5/10/12 0:00,773G,773,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Florida,Skid Steer Loaders,,,
1228376,768847,3542,2004,Medium,5/10/12 0:00,420D,420,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,Backhoe Loaders,,,
1228380,1002435,20090,2004,Low,5/10/12 0:00,TB145,TB145,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Florida,Track Excavators,,,
1228381,1042720,3357,1000,Low,5/10/12 0:00,12G,12,Motorgrader - 130.0 to 145.0 Horsepower,Florida,Motor Graders,,,
1228384,1004725,9580,2008,Medium,5/10/12 0:00,T190,T190,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1228385,1047074,9580,2008,Medium,5/10/12 0:00,T190,T190,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1228386,1068055,17318,2005,Medium,5/10/12 0:00,T250,T250,Skid Steer Loader - 2701.0+ Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1228387,1024933,17318,2006,Medium,5/10/12 0:00,T250,T250,Skid Steer Loader - 2701.0+ Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1228389,1064853,17318,2005,Medium,5/10/12 0:00,T250,T250,Skid Steer Loader - 2701.0+ Lb Operating Capacity,Louisiana,Skid Steer Loaders,,,
1228391,1052390,2252,1000,,5/10/12 0:00,PC240LC,PC240,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",South Carolina,Track Excavators,,,
1228394,796633,1073,2006,Medium,5/10/12 0:00,303.5CCR,303.5,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Florida,Track Excavators,,,
1228395,798140,3450,2008,,5/10/12 0:00,302.5C,302.5,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Florida,Track Excavators,,,
1228400,1039178,4736,2003,Low,5/10/12 0:00,624H,624,Wheel Loader - 150.0 to 175.0 Horsepower,Texas,Wheel Loader,,Standard,Conventional
