SalesID,SalePrice,MachineID,ModelID,YearMade,UsageBand,Quantity Sold,saledate,fiProductClassDesc,state,ProductGroupDesc,Hydraulics,Blade_Type,Blade_type_cost,Differential_Type,Differential_type_cost,Steering_Controls,Steering_control_cost,Cost Price
1139311,41000,1014135,8867,2000,Medium,100.00,5/18/06 0:00,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Kansas,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139333,34500,999192,3350,1000,Medium,90.00,10/19/06 0:00,Motorgrader - 45.0 to 130.0 Horsepower,Nevada,Motor Graders,Base + 1 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139344,26000,1044500,7040,2005,Low,50.00,10/25/07 0:00,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Iowa,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139346,73000,821452,85,1996,High,20,10/19/06 0:00,Wheel Loader - 200.0 to 225.0 Horsepower,Maine,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139348,33000,294562,3542,2001,Medium,40.00,5/20/04 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139351,12500,833838,7009,2003,Medium,80.00,3/9/06 0:00,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Massachusetts,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139354,15500,565440,7040,2003,Low,40.00,3/9/06 0:00,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",California,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139356,53000,1004127,25458,2000,low,100.00,2/22/07 0:00,"Hydraulic Excavator, Track - 50.0 to 66.0 Metric Tons",Texas,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139357,46000,44800,19167,2004,Low,78.00,8/9/07 0:00,Motorgrader - 45.0 to 130.0 Horsepower,Louisiana,Motor Graders,Base + 1 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139358,89000,1018076,1333,1998,Medium,300.00,6/1/06 0:00,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",Minnesota,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139363,51000,871201,1263,1999,High,90.00,10/22/10 0:00,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",New Hampshire,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139365,14000,973717,9566,2001,Medium,48.00,3/22/07 0:00,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Idaho,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139367,31500,1036100,9109,1995,Medium,97,7/27/06 0:00,Wheel Loader - 120.0 to 135.0 Horsepower,North Carolina,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139369,14000,1050658,1918,1000,low,120.00,1/28/10 0:00,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Michigan,Track Type Tractors,2 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139379,18500,70214,13395,2004,Medium,356.00,6/1/06 0:00,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Louisiana,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139382,10000,1068548,112,1000,Low,130,6/9/11 0:00,Wheel Loader - 275.0 to 350.0 Horsepower,Arkansas,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139390,8250,1011114,7110,1000,low,200.00,5/19/11 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Mississippi,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139398,20500,138847,7043,2001,Medium,100.00,5/20/04 0:00,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Georgia,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139401,9500,1011478,18604,2003,low,90.00,7/24/09 0:00,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Mississippi,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139409,51000,999090,3362,1000,Low,50.00,6/15/11 0:00,Motorgrader - 145.0 to 170.0 Horsepower,Missouri,Motor Graders,Base + 1 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139412,39000,108090,1088,2006,Medium,20.00,6/25/09 0:00,"Hydraulic Excavator, Track - 6.0 to 8.0 Metric Tons",North Carolina,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139413,58000,1045512,5853,2001,Low,40.00,2/25/10 0:00,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Florida,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139415,15500,1066239,17188,1996,Medium,80,12/15/05 0:00,Wheel Loader - 60.0 to 80.0 Horsepower,California,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139418,7750,1026462,6270,2001,Low,40.00,7/9/09 0:00,Skid Steer Loader - 701.0 to 976.0 Lb Operating Capacity,North Carolina,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139421,32000,1048704,2797,2000,Low,100.00,6/16/11 0:00,"Hydraulic Excavator, Track - 8.0 to 11.0 Metric Tons",California,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139423,11500,999442,3217,2003,High,78.00,12/14/06 0:00,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Florida,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139424,12000,1011821,4818,1000,Low,300.00,11/18/10 0:00,Motorgrader - 170.0 to 200.0 Horsepower,Iowa,Motor Graders,Base + 1 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139426,75000,625882,23937,1996,Low,90.00,8/6/09 0:00,Motorgrader - 170.0 to 200.0 Horsepower,California,Motor Graders,Base + 3 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139429,5500,1007166,7002,2001,Medium,48.00,7/8/09 0:00,Skid Steer Loader - 1251.0 to 1351.0 Lb Operating Capacity,North Carolina,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139432,28500,362075,1078,2003,Medium,97.00,8/24/06 0:00,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Missouri,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139445,35500,1066661,13776,1998,Low,120.00,7/15/04 0:00,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Michigan,Track Type Tractors,2 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139449,11500,115392,7014,2002,Medium,356.00,4/12/07 0:00,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,North Carolina,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139450,35500,1059046,1830,2003,Medium,130.00,2/10/11 0:00,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",South Carolina,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139451,30000,980151,13776,1998,Medium,200.00,11/17/05 0:00,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Utah,Track Type Tractors,4 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139455,18500,571708,11982,1000,Medium,100.00,8/27/09 0:00,"Hydraulic Excavator, Track - 24.0 to 28.0 Metric Tons",Michigan,Track Excavators,3 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139456,33000,1042584,2140,2002,Medium,90.00,2/3/11 0:00,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",California,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139457,9500,1063011,506,2001,Medium,50.00,6/28/07 0:00,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Wisconsin,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139459,8500,1029997,28561,2005,Low,20.00,6/2/11 0:00,"Hydraulic Excavator, Track - 0.0 to 2.0 Metric Tons",Texas,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139461,19000,697529,1078,2005,Medium,40.00,8/27/09 0:00,"Hydraulic Excavator, Track - 4.0 to 5.0 Metric Tons",Illinois,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139463,37000,1033597,28920,2006,High,80,2/25/10 0:00,Wheel Loader - 120.0 to 135.0 Horsepower,Alabama,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139464,51000,882909,3783,2001,High,40,7/27/06 0:00,Wheel Loader - 120.0 to 135.0 Horsepower,Tennessee,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139465,8250,1015814,5766,1000,Low,100.00,8/20/09 0:00,Motorgrader - 45.0 to 130.0 Horsepower,Washington,Motor Graders,Base + 1 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139469,23000,1058869,3171,1998,High,78.00,5/17/07 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139473,30500,1054162,663,2000,Medium,300.00,6/15/04 0:00,Backhoe Loader - 15.0 to 16.0 Ft Standard Digging Depth,Missouri,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139476,28000,1065636,3357,1000,low,90.00,5/10/10 0:00,Motorgrader - 130.0 to 145.0 Horsepower,Florida,Motor Graders,Base + 1 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139479,12000,1025088,22074,2006,Medium,100.00,8/6/09 0:00,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Virginia,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139480,8100,1010707,9560,1000,Low,90.00,4/29/11 0:00,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,Florida,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139481,29000,1062393,13247,2005,Medium,50.00,4/22/10 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Texas,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139482,102000,450508,1333,1998,Medium,20.00,1/25/07 0:00,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",California,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139484,35000,762683,3807,2002,Medium,40,10/21/10 0:00,Wheel Loader - 150.0 to 175.0 Horsepower,Michigan,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139487,33500,1054383,13792,1999,Medium,80.00,6/3/04 0:00,"Track Type Tractor, Dozer - 75.0 to 85.0 Horsepower",Arkansas,Track Type Tractors,4 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139488,53000,404336,1129,1998,Medium,40.00,3/11/04 0:00,"Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",Massachusetts,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139489,30000,1060419,5273,1998,Medium,100.00,11/17/05 0:00,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Michigan,Track Type Tractors,2 Valve,PAT,3000,None or Unspecified,1200,None or Unspecified,1000,20400
1139490,39000,982928,1130,2005,High,78.00,7/16/09 0:00,"Hydraulic Excavator, Track - 14.0 to 16.0 Metric Tons",Utah,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139493,15000,1008075,18588,2006,Low,100.00,9/24/10 0:00,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Illinois,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139496,70000,1053081,3282,2006,Medium,90.00,10/18/07 0:00,"Hydraulic Excavator, Track - 16.0 to 19.0 Metric Tons",Texas,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139501,7500,1048655,9569,1999,Medium,50.00,12/14/06 0:00,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,Idaho,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139502,13000,877241,3409,2004,High,20.00,10/25/07 0:00,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Oregon,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139508,44000,1052606,7944,2001,Medium,40.00,4/12/07 0:00,"Hydraulic Excavator, Track - 12.0 to 14.0 Metric Tons",South Dakota,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139512,26000,318203,4116,2002,High,80.00,3/26/09 0:00,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",West Virginia,Track Type Tractors,2 Valve,PAT,3000,None or Unspecified,1200,None or Unspecified,1000,20400
1139513,67000,1029569,14411,2005,Medium,40,4/28/11 0:00,Wheel Loader - 200.0 to 225.0 Horsepower,California,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139514,17000,876671,7277,1000,Low,100,12/7/06 0:00,Wheel Loader - 150.0 to 175.0 Horsepower,Oregon,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139515,33000,1015565,4605,2002,Medium,78.00,7/15/04 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Florida,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139518,12000,1018704,17311,2006,Medium,300.00,7/23/09 0:00,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,South Carolina,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139519,52000,1030896,1192,1998,Low,100.00,12/14/06 0:00,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Minnesota,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139526,33000,1012428,8988,2003,Low,90.00,11/15/07 0:00,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",North Carolina,Track Type Tractors,2 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139528,50000,1026282,4806,1998,Medium,50.00,2/19/09 0:00,"Track Type Tractor, Dozer - 130.0 to 160.0 Horsepower",Oklahoma,Track Type Tractors,2 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139531,57000,616902,1269,2004,low,20.00,3/12/09 0:00,"Hydraulic Excavator, Track - 33.0 to 40.0 Metric Tons",Texas,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139532,36000,1042645,28741,1996,High,40,5/17/07 0:00,Wheel Loader - 275.0 to 350.0 Horsepower,Texas,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139535,10000,1002296,3166,1984,low,80.00,8/11/05 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Kansas,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139536,27000,1029708,3877,1000,Medium,40,8/9/07 0:00,Wheel Loader - 275.0 to 350.0 Horsepower,Pennsylvania,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139539,21000,1054302,4794,1995,Low,100.00,10/3/08 0:00,Backhoe Loader - 16.0 + Ft Standard Digging Depth,Wyoming,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139540,25000,1014876,4606,1998,High,78.00,2/8/07 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Arizona,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139541,12500,742947,3423,2004,low,300.00,7/9/09 0:00,Skid Steer Loader - 1751.0 to 2201.0 Lb Operating Capacity,California,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139542,11500,1003012,1954,1988,low,90.00,10/20/05 0:00,"Hydraulic Excavator, Track - 28.0 to 33.0 Metric Tons",Virginia,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139543,25500,1024992,4794,1996,Low,48.00,12/15/05 0:00,Backhoe Loader - 16.0 + Ft Standard Digging Depth,California,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139545,17500,273291,7014,2001,Low,97.00,1/29/04 0:00,Skid Steer Loader - 1601.0 to 1751.0 Lb Operating Capacity,North Dakota,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139546,64000,1031217,4789,2002,Medium,120.00,9/18/08 0:00,"Track Type Tractor, Dozer - 105.0 to 130.0 Horsepower",Oklahoma,Track Type Tractors,3 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139547,20500,332277,1571,1980,low,356.00,11/3/05 0:00,"Track Type Tractor, Dozer - 85.0 to 105.0 Horsepower",Texas,Track Type Tractors,3 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139550,27000,62171,13776,2000,Medium,130.00,6/1/06 0:00,"Track Type Tractor, Dozer - 20.0 to 75.0 Horsepower",Louisiana,Track Type Tractors,2 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139555,12000,568176,18679,2000,Medium,200.00,4/29/04 0:00,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Michigan,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139556,16000,1034004,18604,2004,Medium,100.00,6/14/07 0:00,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,Missouri,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139558,66000,113683,3775,2004,Medium,90,4/12/07 0:00,Wheel Loader - 120.0 to 135.0 Horsepower,Florida,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139559,56000,128122,3357,1000,High,50.00,1/28/10 0:00,Motorgrader - 130.0 to 145.0 Horsepower,North Carolina,Motor Graders,Base + 1 Function,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139563,6500,1010433,7999,2000,low,20.00,10/18/07 0:00,Skid Steer Loader - 1351.0 to 1601.0 Lb Operating Capacity,Louisiana,Skid Steer Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139564,19500,397593,6261,2000,Low,40.00,2/12/04 0:00,Skid Steer Loader - 2201.0 to 2701.0 Lb Operating Capacity,New Jersey,Skid Steer Loaders,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139567,42000,150713,1177,1995,Low,80.00,5/26/10 0:00,"Hydraulic Excavator, Track - 21.0 to 24.0 Metric Tons",Georgia,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139568,32000,1042687,491,1996,High,40.00,12/14/06 0:00,"Hydraulic Excavator, Track - 40.0 to 50.0 Metric Tons",Maine,Track Excavators,Standard,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139572,16000,1010319,8850,1998,Medium,100.00,4/20/06 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Virginia,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139575,8500,1010268,10468,2005,Medium,78.00,6/11/09 0:00,"Hydraulic Excavator, Track - 2.0 to 3.0 Metric Tons",Georgia,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139579,15500,1020856,5187,1992,Low,300,11/17/05 0:00,Wheel Loader - 120.0 to 135.0 Horsepower,South Carolina,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139583,83000,1011281,13864,1995,Low,90.00,3/8/07 0:00,"Track Type Tractor, Dozer - 160.0 to 190.0 Horsepower",Texas,Track Type Tractors,2 Valve,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139584,45000,1020091,12328,2001,low,48,5/19/11 0:00,Wheel Loader - 350.0 to 500.0 Horsepower,New York,Wheel Loader,2 Valve,None or Unspecified,1000,Standard,1500,Conventional,1500,16000
1139589,11500,1066636,473,2002,Low,97.00,9/7/06 0:00,"Hydraulic Excavator, Track - 3.0 to 4.0 Metric Tons",Oklahoma,Track Excavators,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
1139592,29500,1006823,3538,1998,Medium,120.00,2/23/06 0:00,Backhoe Loader - 14.0 to 15.0 Ft Standard Digging Depth,Kentucky,Backhoe Loaders,Auxiliary,None or Unspecified,1000,None or Unspecified,1200,None or Unspecified,1000,12400
